Cidade,Área da unidade territorial(km²),Arborização de vias públicas,Urbanização de vias públicas
Recife,"218,843","60,5 %","49,6 %"
Fortaleza,"312,407","74,8 %","13,2 %"
Salvador,"693,831","39,5 %",35 %
São Paulo,"1.521,110","74,8 %","50,3 %"
Vitória,"97.123,000","65,4 %","78,7 %"
Rio de Janeiro,"1.200,255","70,5 %","78,4 %"
Belém,"1.059,458","96,6 %","26,9 %"
Manaus,"11.401,092","23,9 %","26,3 %"
Macapá,"6.563,849",66 %,"8,8 %"
Curitiba,"435.036,000","76,1 %","59,1 %"
Goiania,"728.841,000","89,3 %","48,6 %"